index,car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
12306,Ford Ecosport,Ford,Ecosport,7,81360,Dealer,Diesel,Manual,22.7,1498,2,5,451000
1407,Hyundai i20,Hyundai,i20,7,110000,Individual,Petrol,Manual,18.5,1197,2,5,450000
9383,Maruti Eeco,Maruti,Eeco,7,50000,Individual,Petrol,Manual,15.37,1196,1,7,250000
19156,Hyundai Creta,Hyundai,Creta,4,24000,Dealer,Petrol,Manual,15.8,1591,3,5,1055000
4590,Volkswagen Vento,Volkswagen,Vento,7,95000,Dealer,Diesel,Manual,20.54,1598,2,5,525000
18087,Skoda Rapid,Skoda,Rapid,9,78000,Dealer,Diesel,Manual,20.5,1598,2,5,375000
13142,Hyundai Creta,Hyundai,Creta,3,14548,Dealer,Diesel,Manual,19.67,1582,3,5,1175000
14441,Honda Amaze,Honda,Amaze,8,50000,Dealer,Diesel,Manual,25.8,1498,2,5,340000
1265,Toyota Innova,Toyota,Innova,8,215000,Individual,Diesel,Manual,12.99,2494,2,7,1000000
13716,Hyundai i20,Hyundai,i20,9,53493,Dealer,Petrol,Manual,18.5,1197,2,5,350000
12902,Mahindra Scorpio,Mahindra,Scorpio,3,15000,Individual,Diesel,Manual,16.36,2179,3,7,1285000
16768,Maruti Ciaz,Maruti,Ciaz,7,120000,Individual,Diesel,Manual,26.21,1248,2,5,580000
2056,Maruti Ciaz,Maruti,Ciaz,3,30000,Dealer,Petrol,Manual,20.65,1462,2,5,765000
7317,Maruti Alto,Maruti,Alto,12,110000,Individual,Petrol,Manual,24.7,796,1,5,150000
906,Hyundai Verna,Hyundai,Verna,4,15000,Individual,Petrol,Automatic,15.74,1591,3,5,750000
18904,Toyota Fortuner,Toyota,Fortuner,3,68000,Dealer,Diesel,Automatic,15.04,2755,3,7,3000000
14051,Toyota Innova,Toyota,Innova,9,85000,Dealer,Diesel,Manual,12.8,2494,2,7,575000
3834,Honda City,Honda,City,15,89000,Individual,Petrol,Manual,17.7,1497,2,5,113000
12690,Maruti Swift,Maruti,Swift,3,30000,Dealer,Petrol,Automatic,22.0,1197,2,5,650000
1699,MG Hector,MG,Hector,2,20000,Dealer,Diesel,Manual,17.41,1956,3,5,1750000
15835,Hyundai i20,Hyundai,i20,5,41000,Dealer,Petrol,Manual,18.6,1197,2,5,525000
965,Ford Ecosport,Ford,Ecosport,5,67000,Dealer,Diesel,Manual,22.77,1498,2,5,525000
4907,Maruti Wagon R,Maruti,Wagon R,7,20903,Dealer,CNG,Manual,32.52,998,1,5,410000
19242,Maruti Swift,Maruti,Swift,10,22813,Dealer,Diesel,Manual,22.9,1248,1,5,450000
3091,Maruti Ciaz,Maruti,Ciaz,5,70000,Individual,Diesel,Manual,28.09,1248,2,5,680000
17528,Hyundai i20,Hyundai,i20,11,78000,Individual,Diesel,Manual,23.0,1396,2,5,215000
16906,Maruti Wagon R,Maruti,Wagon R,6,80000,Individual,CNG,Manual,26.6,998,1,5,300000
7758,Mahindra Scorpio,Mahindra,Scorpio,11,160000,Individual,Diesel,Manual,10.5,2609,2,7,300000
19385,Mercedes-Benz E-Class,Mercedes-Benz,E-Class,10,50000,Dealer,Diesel,Automatic,14.21,2143,4,5,1450000
4120,Skoda Rapid,Skoda,Rapid,7,59000,Dealer,Diesel,Manual,20.5,1598,2,5,475000
3585,Honda Amaze,Honda,Amaze,6,43251,Dealer,Diesel,Manual,25.8,1498,2,5,515000
5533,Honda City,Honda,City,5,70900,Dealer,Petrol,Manual,17.0,1497,2,5,625000
15022,Hyundai Santro,Hyundai,Santro,2,10000,Individual,Petrol,Automatic,20.3,1086,1,5,558000
17581,Maruti Ertiga,Maruti,Ertiga,7,42000,Dealer,Diesel,Manual,20.77,1248,2,7,750000
18422,Skoda Rapid,Skoda,Rapid,9,110000,Dealer,Diesel,Manual,20.5,1598,2,5,440000
3250,Renault Duster,Renault,Duster,8,72396,Dealer,Diesel,Manual,19.01,1461,2,5,528000
19085,Maruti Swift Dzire,Maruti,Swift Dzire,5,46000,Dealer,Diesel,Manual,23.4,1248,1,5,715000
6518,Honda WR-V,Honda,WR-V,3,22000,Dealer,Petrol,Manual,17.5,1199,2,5,750000
2609,Ford Figo,Ford,Figo,9,35000,Dealer,Petrol,Manual,15.6,1196,1,5,245000
12821,Mahindra XUV500,Mahindra,XUV500,5,44890,Dealer,Diesel,Automatic,16.0,1997,3,7,975000
6715,Volkswagen Polo,Volkswagen,Polo,7,53000,Dealer,Diesel,Manual,20.14,1498,2,5,560000
15668,Maruti Vitara,Maruti,Vitara,3,93550,Dealer,Diesel,Automatic,24.3,1248,2,5,875000
7916,Maruti Ciaz,Maruti,Ciaz,4,34834,Dealer,Petrol,Manual,20.73,1373,2,5,750000
12438,Maruti Swift,Maruti,Swift,8,99426,Dealer,Diesel,Manual,22.9,1248,1,5,353000
5810,Audi A6,Audi,A6,6,67000,Dealer,Diesel,Automatic,17.68,1968,3,5,2650000
3286,Hyundai i10,Hyundai,i10,11,70000,Individual,Petrol,Manual,19.81,1086,1,5,199000
2168,Maruti Swift Dzire,Maruti,Swift Dzire,3,53000,Dealer,Diesel,Manual,19.3,1248,1,5,753000
3205,Maruti Swift Dzire,Maruti,Swift Dzire,13,115000,Individual,Petrol,Manual,17.5,1298,2,5,250000
8185,Maruti Ertiga,Maruti,Ertiga,6,44000,Dealer,Diesel,Manual,20.77,1248,2,7,775000
12824,Volkswagen Polo,Volkswagen,Polo,3,16000,Dealer,Petrol,Automatic,17.21,1197,2,5,875000
16017,Maruti Wagon R,Maruti,Wagon R,6,25000,Individual,Petrol,Manual,20.51,998,1,5,400000
1784,Ford Ecosport,Ford,Ecosport,2,64000,Dealer,Diesel,Manual,22.77,1498,2,5,850000
1898,Skoda Octavia,Skoda,Octavia,6,50000,Dealer,Diesel,Automatic,19.3,1968,3,5,1050000
12867,Maruti Swift Dzire,Maruti,Swift Dzire,3,11000,Dealer,Petrol,Automatic,22.0,1197,2,5,650000
2818,Maruti Wagon R,Maruti,Wagon R,6,33766,Dealer,Petrol,Manual,20.51,998,1,5,372000
4231,Renault KWID,Renault,KWID,1,5000,Individual,Petrol,Automatic,24.04,999,1,5,400000
